quarter,sector,advisory_revenue_usd_mm,ecm_revenue_usd_mm,dcm_revenue_usd_mm,total_revenue_usd_mm,qoq_growth_pct,story_flag
2024Q2,Technology,125.13,23.64,14.35,163.12,,
2024Q2,Healthcare,6.96,1.88,0.62,9.46,,
2024Q2,Industrials,44.19,4.77,9.53,58.49,,
2024Q2,Consumer & Retail,18.26,2.2,0.8,21.26,,
2024Q2,Energy,24.13,2.65,4.96,31.74,,
2024Q2,Financial Institutions,47.74,2.47,3.86,54.07,,
2024Q3,Technology,100.7,19.13,5.47,125.3,-23.2,
2024Q3,Healthcare,51.42,7.55,3.62,62.59,561.6,
2024Q3,Industrials,15.53,1.32,1.31,18.16,-69.0,
2024Q3,Consumer & Retail,25.35,3.12,2.12,30.59,43.9,
2024Q3,Energy,14.89,1.23,1.93,18.05,-43.1,
2024Q3,Financial Institutions,62.31,3.07,14.53,79.91,47.8,
2024Q4,Technology,51.7,17.81,4.21,73.72,-41.2,
2024Q4,Healthcare,65.7,12.82,2.79,81.31,29.9,
2024Q4,Industrials,42.81,4.03,3.89,50.73,179.4,
2024Q4,Consumer & Retail,19.65,4.03,1.45,25.13,-17.8,
2024Q4,Energy,106.83,7.23,13.02,127.08,604.0,
2024Q4,Financial Institutions,60.83,6.41,6.89,74.13,-7.2,
2025Q1,Technology,152.23,26.82,17.57,196.62,166.7,
2025Q1,Healthcare,120.49,30.73,12.33,163.55,101.1,
2025Q1,Industrials,67.48,5.18,14.75,87.41,72.3,
2025Q1,Consumer & Retail,90.43,31.07,3.82,125.32,398.7,
2025Q1,Energy,28.59,4.12,3.26,35.97,-71.7,
2025Q1,Financial Institutions,17.58,2.57,4.3,24.45,-67.0,
2025Q2,Technology,51.63,14.13,3.83,69.59,-64.6,
2025Q2,Healthcare,159.26,25.58,10.17,195.01,19.2,
2025Q2,Industrials,66.21,5.51,6.58,78.3,-10.4,
2025Q2,Consumer & Retail,16.4,4.07,1.3,21.77,-82.6,
2025Q2,Energy,33.34,3.35,8.07,44.76,24.4,
2025Q2,Financial Institutions,39.19,4.62,6.06,49.87,104.0,
2025Q3,Technology,58.61,16.01,6.08,80.7,16.0,
2025Q3,Healthcare,14.53,2.94,1.09,18.56,-90.5,
2025Q3,Industrials,51.88,3.46,9.96,65.3,-16.6,
2025Q3,Consumer & Retail,34.44,10.24,1.26,45.94,111.0,
2025Q3,Energy,109.86,10.19,16.27,136.32,204.6,
2025Q3,Financial Institutions,50.36,7.11,9.95,67.42,35.2,
2025Q4,Technology,119.77,35.65,7.47,162.89,101.8,
2025Q4,Healthcare,41.63,9.75,3.64,55.02,196.4,
2025Q4,Industrials,23.2,2.89,4.45,30.54,-53.2,
2025Q4,Consumer & Retail,26.6,6.96,0.9,34.46,-25.0,
2025Q4,Energy,42.7,4.89,6.32,53.91,-60.5,
2025Q4,Financial Institutions,67.79,9.91,10.38,88.08,30.6,
2026Q1,Technology,4.87,0.28,0.24,5.39,-96.7,Technology revenue declined amid delayed deals and weak ECM window
2026Q1,Healthcare,30.58,7.5,2.5,40.58,-26.2,
2026Q1,Industrials,26.07,2.16,5.51,33.74,10.5,
2026Q1,Consumer & Retail,42.27,9.52,2.58,54.37,57.8,
2026Q1,Energy,38.0,1.96,5.73,45.69,-15.2,
2026Q1,Financial Institutions,38.86,2.05,9.32,50.23,-43.0,
