opportunity_id,client_id,opportunity_name,deal_type,sector,region,owner_banker_id,stage,target_announcement_quarter,estimated_deal_value_usd_mm,expected_fee_usd_mm,probability,weighted_fee_usd_mm,next_step,delay_reason
P0001,C003,Atlas Cybersecurity potential convertible offering,ECM,Technology,Europe,B002,Delayed,2026Q3,3166.4,71.86,0.28,20.12,Revisit launch timing after volatility stabilizes,IPO window score fell below launch threshold
P0002,C002,Helio Semiconductor potential strategic merger,M&A Advisory,Technology,Asia-Pacific,B001,Delayed,2026Q2,1408.4,13.06,0.42,5.49,Revisit launch timing after volatility stabilizes,IPO window score fell below launch threshold
P0003,C006,BluePeak Data Centers potential IPO readiness,ECM,Technology,Europe,B002,Delayed,2026Q3,3285.7,84.48,0.39,32.95,Revisit launch timing after volatility stabilizes,Financing committee paused leverage package
P0004,C001,Northstar Cloud Systems potential block trade,ECM,Technology,North America,B001,Delayed,2026Q2,2341.4,45.13,0.27,12.19,Revisit launch timing after volatility stabilizes,Financing committee paused leverage package
P0005,C003,Atlas Cybersecurity potential refinancing,DCM,Technology,Europe,B002,Delayed,2026Q2,316.6,1.84,0.36,0.66,Revisit launch timing after volatility stabilizes,Valuation gap after 2026Q1 market reset
P0006,C004,Nova Payments potential term loan syndication,DCM,Technology,Latin America,B003,Execution,2026Q4,938.3,6.39,0.78,4.98,Prepare financing readout,
P0007,C006,BluePeak Data Centers potential acquisition,M&A Advisory,Technology,Europe,B002,Diligence,2026Q2,2012.5,20.91,0.69,14.43,Update valuation materials,
P0008,C004,Nova Payments potential term loan syndication,DCM,Technology,Latin America,B003,Lead,2026Q3,2821.5,13.96,0.23,3.21,Schedule CEO call,
P0009,C001,Northstar Cloud Systems potential carve-out,M&A Advisory,Technology,North America,B001,Diligence,2026Q3,1210.6,13.87,0.72,9.99,Confirm diligence timeline,
P0010,C004,Nova Payments potential refinancing,DCM,Technology,Latin America,B003,Lead,2026Q3,917.0,4.37,0.18,0.79,Coordinate legal and accounting workstreams,
P0011,C004,Nova Payments potential refinancing,DCM,Technology,Latin America,B003,Diligence,2026Q3,2830.5,16.59,0.61,10.12,Update valuation materials,
P0012,C005,Quantum Retail AI potential senior notes,DCM,Technology,North America,B001,Execution,2026Q4,1349.4,7.37,0.82,6.04,Update valuation materials,
