client_id,quarter,coverage_meetings,pitch_books_sent,management_calls,engagement_score,latest_activity_theme
C001,2024Q2,5,3,2,86,Market update
C001,2024Q3,4,4,3,82,Board materials review
C001,2024Q4,2,2,4,74,Capital structure update
C001,2025Q1,4,4,4,80,Market update
C001,2025Q2,4,3,2,78,Market update
C001,2025Q3,3,2,2,74,Market update
C001,2025Q4,3,4,2,85,Quarterly coverage call
C001,2026Q1,4,1,3,64,Delayed process review / valuation reset discussion
C002,2024Q2,4,4,3,78,Market update
C002,2024Q3,5,4,2,80,Quarterly coverage call
C002,2024Q4,4,4,3,82,Market update
C002,2025Q1,3,2,3,73,Capital structure update
C002,2025Q2,4,2,4,72,Capital structure update
C002,2025Q3,5,3,4,86,Quarterly coverage call
C002,2025Q4,3,2,3,80,Market update
C002,2026Q1,4,3,2,68,Delayed process review / valuation reset discussion
C003,2024Q2,3,1,2,67,Capital structure update
C003,2024Q3,3,2,2,72,Capital structure update
C003,2024Q4,2,1,4,61,Market update
C003,2025Q1,4,1,2,65,Quarterly coverage call
C003,2025Q2,4,1,3,68,Board materials review
C003,2025Q3,3,1,4,66,Market update
C003,2025Q4,4,3,3,70,Strategic alternatives discussion
C003,2026Q1,3,3,2,51,Delayed process review / valuation reset discussion
C004,2024Q2,2,1,2,59,Strategic alternatives discussion
C004,2024Q3,4,1,3,58,Market update
C004,2024Q4,2,3,4,61,Quarterly coverage call
C004,2025Q1,2,1,2,58,Strategic alternatives discussion
C004,2025Q2,2,2,3,59,Market update
C004,2025Q3,4,1,4,65,Strategic alternatives discussion
C004,2025Q4,4,3,2,72,Market update
C004,2026Q1,2,1,1,49,Delayed process review / valuation reset discussion
C005,2024Q2,2,2,2,43,Board materials review
C005,2024Q3,3,3,3,49,Quarterly coverage call
C005,2024Q4,2,3,2,43,Quarterly coverage call
C005,2025Q1,2,1,1,54,Quarterly coverage call
C005,2025Q2,2,2,1,50,Board materials review
C005,2025Q3,1,1,2,46,Board materials review
C005,2025Q4,2,1,3,54,Market update
C005,2026Q1,1,0,1,32,Delayed process review / valuation reset discussion
C006,2024Q2,3,3,2,74,Board materials review
C006,2024Q3,3,2,3,85,Board materials review
C006,2024Q4,3,3,3,72,Board materials review
C006,2025Q1,5,4,3,78,Market update
C006,2025Q2,3,2,2,74,Strategic alternatives discussion
C006,2025Q3,3,4,3,81,Market update
C006,2025Q4,4,3,4,72,Quarterly coverage call
C006,2026Q1,2,1,4,62,Delayed process review / valuation reset discussion
C007,2024Q2,2,4,2,73,Strategic alternatives discussion
